time_us,x_g,y_g,z_g,time_ms
1007505,0.0312,0.0468,0.9126,1007.505
1010005,0.0273,0.0507,0.9126,1010.005
1012505,0.0351,0.0507,0.9087,1012.505
1015000,0.0273,0.0429,0.9087,1015.0
1017529,0.0351,0.039,0.9009,1017.529
1020016,0.0273,0.0429,0.9087,1020.016
1022504,0.0273,0.0546,0.9087,1022.504
1025016,0.0273,0.0351,0.9087,1025.016
1027520,0.0312,0.0468,0.9087,1027.52
1030012,0.0312,0.0468,0.9048,1030.012
1032502,0.0351,0.0546,0.9165,1032.502
1035027,0.0312,0.0507,0.9126,1035.027
1037737,0.0351,0.0468,0.9126,1037.737
1040007,0.0312,0.0468,0.9126,1040.007
1042505,0.0312,0.0507,0.9048,1042.505
1045015,0.0312,0.0468,0.9126,1045.015
1047525,0.0273,0.0507,0.9126,1047.525
1050007,0.0273,0.0507,0.9126,1050.007
1052517,0.039,0.0468,0.9009,1052.517
1055009,0.0234,0.0507,0.9126,1055.009
1057528,0.0312,0.0507,0.9204,1057.528
1060022,0.0312,0.0468,0.897,1060.022
1062534,0.039,0.0468,0.9126,1062.534
1065013,0.0351,0.0507,0.9087,1065.013
1067507,0.0351,0.039,0.9126,1067.507
1070010,0.0234,0.0585,0.9087,1070.01
1072503,0.0312,0.0546,0.9165,1072.503
1075013,0.0273,0.0624,0.9126,1075.013
1077519,0.0273,0.0546,0.9009,1077.519
1080014,0.0312,0.0507,0.9009,1080.014
1082502,0.0351,0.0546,0.9087,1082.502
1085019,0.0351,0.0507,0.9204,1085.019
1087529,0.0312,0.0468,0.9048,1087.529
1090018,0.0312,0.0507,0.9165,1090.018
1092529,0.039,0.0507,0.897,1092.529
1095009,0.0351,0.0507,0.9048,1095.009
1097520,0.0312,0.0585,0.9087,1097.52
1100006,0.0273,0.0546,0.9126,1100.006
1102501,0.0351,0.0546,0.9087,1102.501
1105019,0.039,0.0429,0.9165,1105.019
1107517,0.0312,0.0507,0.9009,1107.517
1110008,0.0312,0.0468,0.9204,1110.008
1112524,0.0312,0.0546,0.9009,1112.524
1115004,0.0312,0.0507,0.9048,1115.004
1117515,0.0351,0.0507,0.9126,1117.515
1120015,0.0312,0.0507,0.9087,1120.015
1122529,0.0312,0.0507,0.9165,1122.529
1125006,0.0273,0.0507,0.9087,1125.006
1127519,0.0312,0.0468,0.9126,1127.519
1130007,0.0312,0.0507,0.9048,1130.007
1132501,0.0234,0.0546,0.9165,1132.501
1135020,0.0312,0.0468,0.9165,1135.02
1137500,0.0351,0.0507,0.9126,1137.5
1140015,0.0312,0.0468,0.9048,1140.015
1142507,0.0273,0.0585,0.9087,1142.507
1145014,0.0312,0.0507,0.9048,1145.014
1147521,0.0273,0.0507,0.9087,1147.521
1150012,0.0312,0.0468,0.897,1150.012
1152505,0.0234,0.0546,0.9165,1152.505
1155019,0.0273,0.0507,0.9087,1155.019
1157507,0.0273,0.0429,0.9126,1157.507
1160014,0.0351,0.0468,0.9048,1160.014
1162524,0.0351,0.0468,0.9087,1162.524
1165007,0.0351,0.0468,0.9087,1165.007
1167519,0.0273,0.0546,0.9048,1167.519
1170009,0.0351,0.0468,0.9087,1170.009
